 
 THIS IS FOR STATION NUMBER 7312 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 STDV   82.5   69.6   66.3   62.8  175.1  116.9  104.6   93.5
 
 DAILY RECORD HIGHS AND LOWS OCCURRING DURING 1951-1998 FOR STATION NUMBER 7312
     JAN     FEB    MARCH   APRIL    MAY     JUNE    JULY    AUG     SEPT    OCT     NOV     DEC
 DY MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN  MX  MN
  1  55 -21  56 -26  58 -19  85  12  90  26  90  39 100  47 105  47 100  40  91  26  77  14  62   1
  2  53 -14  53 -26  69  -6  81  17  92  24  90  39  96  48 100  51  97  45  95  18  78   6  67  -4
  3  51 -14  57 -26  70  -2  82   4  91  26  95  32  98  48 103  51  92  32  91  28  76   6  60 -11
  4  48 -17  51 -24  70 -13  77  15  93  29  97  39  98  46 100  48  97  38  91  28  74  -3  56  -4
  5  56 -17  55 -26  66 -16  77  10  90  31  97  41  97  45 100  47  96  40  94  27  71  -3  59  -5
  6  45 -19  48 -20  70  -9  87  13  90  30  95  44 100  51  98  48  96  40  94  25  69   4  60 -14
  7  45 -18  52 -14  71  -9  89  14  91  29  92  43 100  47  98  45  95  38  89  23  77 -11  49 -20
  8  56 -18  65 -17  74  -9  86  14  94  27  93  38  95  49  99  49  94  38  85  25  68 -11  60 -23
  9  49 -26  60 -28  65  -8  86  13  88  28 102  44  98  51  94  47  99  38  83  27  70   5  51 -13
 10  44 -24  60 -20  72  -2  85  14  91  31  99  45  99  48  98  46  92  40  85  26  70  12  52 -10
 11  51 -18  63 -23  63  -5  85  20  92  30  99  44 105  52  96  45  90  38  87  20  72  -6  60 -11
 12  53 -29  60 -28  67 -11  84  15  87  29 100  43 100  50  97  45  91  38  90  21  70  -5  60 -17
 13  54 -28  63 -11  73 -11  84  21  87  28 100  42 105  51 100  45  92  34  90  25  68  -3  54 -15
 14  57 -25  62 -14  70 -12  88  21  92  31  99  45 100  51  97  47  95  36  90  24  72 -10  50 -17
 15  51 -22  56 -11  73   0  82  20  92  33  99  42  98  51  99  44 101  34  90  24  72   7  56 -17
 16  54 -22  55 -20  77   2  86  22  88  33  97  42  97  50 102  45  99  34  83  26  76  -2  60 -11
 17  51 -18  62 -22  71   0  83  22  91  36  92  45  98  49 102  48  97  33  85  15  71  -4  53 -18
 18  54 -21  65 -15  71   0  87  21  95  36 100  46 100  52 102  41  89  35  82  24  70   5  59 -26
 19  47 -22  62 -14  75  -1  91  20  89  35  99  43 100  53 100  46  89  31  86  13  64   5  51 -23
 20  49 -22  64  -8  71   2  90  20  93  36  99  44  96  50 100  47  95  30  84  16  63   8  54 -26
 21  51 -26  63 -10  72  -3  88  24  93  36  98  43 100  49 101  50  90  30  79  24  65  -3  52 -23
 22  49 -13  61  -8  66   6  93  25  91  31 102  43 100  50  97  51  86  27  81  15  65   5  50 -25
 23  53 -21  66 -14  79   1  96  25  90  36  95  48  99  50  97  45  82  29  81  19  64   5  53 -26
 24  56 -18  63 -20  83  -3  86  24  95  37 100  47  95  52  97  44  92  31  83  23  58   1  48 -27
 25  63 -15  62 -20  75   6  88  30 101  36 102  42  99  52 102  47  92  30  82  22  73  -1  51  -9
