 
 THIS IS FOR STATION NUMBER 1394 1951-> 1998
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  9  0.32  0.13  0.79  0.99  1.61  3.30  2.82  1.98  2.92  4.00  0.55  0.64
 10  0.29  0.88  0.60  1.81  1.40  1.72  0.78  1.38  0.92  1.67  1.50  0.35
 11  0.49  0.34  1.06  1.15  1.03  1.75  1.46  1.72  1.65  1.70  1.12  1.05
 12  1.05  0.30  1.05  1.34  0.87  2.20  2.11  1.08  3.30  1.90  1.03  0.49
 13  0.50  0.47  1.33  0.96  1.54  2.64  2.38  2.29  8.03  2.71  1.05  0.25
 14  0.33  0.39  0.54  1.43  1.00  2.84  1.90  2.60  1.90  0.82  0.70  0.79
 15  0.68  0.56  1.40  0.79  1.00  2.83  3.88  1.16  6.95  1.74  1.38  1.10
 16  1.31  0.86  0.59  1.43  1.36  1.55  4.15  1.53  1.05  1.02  2.10  0.33
 17  0.29  0.63  0.63  1.09  2.29  2.20  1.84  1.88  1.57  0.70  4.95  0.25
 18  0.87  1.43  0.85  1.79  1.11  0.62  4.07  1.25  2.22  3.00  0.70  0.18
 19  0.41  0.68  0.97  2.82  1.46  2.07  1.93  3.10  3.92  2.00  0.62  0.72
 20  0.36  0.69  1.31  1.33  0.85  1.63  2.22  1.97  4.50  0.54  0.96  0.98
 21  0.50  1.95  0.55  1.85  3.06  3.45  2.38  1.27  2.02  0.65  1.01  0.16
 22  0.60  0.76  0.44  1.21  1.44  0.92  0.72  1.73  1.44  2.04  0.34  0.90
 23  0.33  1.04  0.67  2.12  2.05  2.50  1.55  2.16  3.35  1.15  0.56  0.78
 24  0.26  0.75  1.75  1.53  1.89  2.32  1.39  0.88  1.07  1.71  0.25  1.80
 25  0.30  0.56  1.60  1.57  2.56  1.81  1.20  1.62  1.28  1.25  0.58  0.40
 26  0.68  0.95  1.57  0.71  0.75  0.78  1.77  4.52  1.34  0.94  0.89  0.35
 27  0.70  0.41  1.50  1.93  2.22  1.96  1.04  1.08  1.30  0.43  0.88  0.70
 28  0.18  0.64  0.81  1.05  2.53  0.85  0.86  0.52  1.07  0.84  0.96  0.91
 29  0.57******  1.16  0.97  1.80  1.23  1.63  1.54  1.45  0.59  0.57  0.31
 30  0.79******  1.78  1.34  1.69  2.32  2.15  1.55  1.36  1.12  2.96  0.44
 31  0.40******  1.53******  1.88******  1.96  3.32******  2.85******  0.20
 
 RECORD LARGEST AND SMALLEST DAILY RANGES (MAX-MIN) DURING 1951-1998 FOR STATION NUMBER 1394
