 
 THIS IS FOR STATION NUMBER  133 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  2 34   3  50   3  33   4  47   3  40   3  36   8  31  14  32  12  45   7  43   4  37   3  36   2
  3 33   4  33   3  37   2  44   3  46   7  41   9  34   9  35  10  36   7  44   5  40   5  33   4
  4 36   3  38   1  38   4  43   7  49   5  42  13  41  11  33   7  38  12  48   6  39   2  33   4
  5 38   3  34   1  36   4  44   7  40   9  42  11  34   8  36   2  38  12  44   8  36   3  29   1
  6 34   3  36   4  35   6  42   7  42   3  40  10  34   9  38   6  34  15  44   6  36   2  34   2
  7 37   6  35   5  45   7  44   5  42   3  37   8  36   9  40   6  42   8  43   3  37   6  39   2
  8 36   4  34   4  36   4  39   5  43   7  42   8  37  15  34   4  41   9  41   7  36   3  31   3
  9 31   2  37   3  38   5  49   1  41   7  36   6  33   5  33  15  41   8  36   4  41   3  36   3
 10 38   3  38   3  39   5  39   4  45   6  40   9  32   9  36  12  39  11  43   6  42   3  36   2
 11 34   3  36   4  37   5  51   4  41   8  37   6  33   8  36   7  40   9  41   6  39   2  36   3
 12 41   2  33   4  34   4  41   4  40   9  34   9  32   7  34  11  45   6  42   7  39   2  30   4
 13 33   3  38   3  36   5  45   5  44   5  34  12  32   9  34   8  38  11  44   6  35   3  38   2
 14 32   5  34   3  41   4  40   3  42   8  34   9  38   5  39   9  36   4  38   9  42   4  45   0
 15 36   4  34   3  38   3  47   5  38  12  32   7  33   6  36  11  37   5  47   2  33   2  37   4
 16 39   5  39   4  38   3  50   6  53   8  35  10  39  11  34   9  38   8  42   6  37   6  44   4
 17 39   5  37   4  35   2  47   5  38   6  35   7  36  11  42  10  35   3  37   6  32   4  39   2
 18 57   4  38   2  35   2  55   8  44   4  43   7  33   9  37   7  38   6  42   7  36   5  37   4
 19 36   2  35   3  36   3  47   5  42   8  35   9  30   9  34   8  45   2  42   8  49   4  33   4
 20 38   4  37   4  39   6  42   7  37   8  37  12  33   7  36   6  39   5  47   1  31   4  32   5
 21 42   3  47   3  36   4  48   5  43   7  36   9  32   7  36   6  40   7  41   4  34   4  37   4
 22 46   2  39   1  44   5  39   3  38   6  37  10  33   4  40   9  41   6  39   5  39   3  32   4
 23 34   4  40   2  39   4  39   9  40  11  40   9  34   7  35  11  41   4  39   6  32   2  36   2
