 
 THIS IS FOR STATION NUMBER 6940 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.58   0.46  67(67) 21(21)  9( 9)  3( 3)  0( 0)    0      100
 20  59 -18  65  -2  72   8  88  23  93  36 104  44 107  51  99  45  93  33  85  18  67   4  57 -19
 21  58 -17  71  -5  73   4  92  23  92  34 104  43 109  49 100  46  93  32  86  18  71   4  57 -19
 22  59  -8  70 -12  86  11  93  23  92  30 104  45 102  53 101  48  90  28  84  16  71   4  59 -21
 23  63 -19  62 -15  79  10  89  24  92  32 102  48  98  52 100  43  83  27  85  15  63   7  67 -26
 24  67 -11  69  -6  84   6  92  18  99  37 102  45  97  53 101  47  90  30  80  20  64   7  55 -22
 25  67  -5  74  -3  82   6  92  29  97  39 103  46 101  46 101  44  89  32  80  20  68   1  53 -17
 26  56 -14  70 -11  84   1  94  28  93  38  99  48 105  49 102  45  91  28  80  15  71   3  60 -15
 27  56 -16  69  -7  80  10  93  29  94  34 103  46 103  50 102  44  93  35  79  13  64  -1  62 -12
 28  53 -16  76 -18  86   7  91  26  90  34 100  49 102  50 102  34 102  28  85  13  69  -6  67  -6
 29  61 -20 *** ***  91   8  94  24  96  39 101  47 102  51  97  43  93  23  81  13  63  -6  60  -7
 30  61 -16 *** ***  89   5  90  30  93  38 101  51 105  39  98  49  96  26  78  20  70 -14  62 -13
 31  69 -23 *** ***  84  10 *** ***  90  38 *** *** 106  44  98  42 *** ***  81  14 *** ***  62 -17
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-1999 FOR STATION NUMBER 6940
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.60  1.35  1.58  0.94  2.22  1.62  0.87  1.46  2.27  1.22  1.97  0.95
  2  0.62  0.30  0.62  1.23  0.91  1.92  3.62  1.55  3.22  0.71  1.47  0.36
  3  0.90  0.60  1.41  1.37  1.16  0.68  1.30  2.50  1.48  1.40  1.34  0.55
  4  0.30  0.69  1.45  1.21  0.92  1.96  1.86  1.27  1.52  1.00  1.49  1.23
  5  0.92  0.55  0.52  1.61  2.80  3.35  1.10  1.76  2.94  1.56  1.15  0.61
  6  0.72  0.10  0.56  2.31  0.94  1.58  2.55  2.45  1.60  0.80  0.83  1.00
  7  0.11  0.19  0.71  0.48  2.02  2.08  3.18  3.58  3.24  1.46  0.35  0.93
  8  0.20  0.13  1.25  1.64  1.00  1.81  1.75  4.30  5.45  2.21  0.80  0.53
  9  0.35  0.75  0.75  1.05  4.07  1.30  2.82  2.60  1.53  1.40  1.67  0.41
 10  0.97  0.44  0.82  0.80  2.22  5.95  1.99  1.62  0.57  1.30  0.55  0.71
 11  0.17  0.53  0.62  1.32  1.03  1.35  3.28  2.02  1.50  2.55  0.83  0.52
 12  0.95  0.20  1.41  0.75  0.84  1.65  0.88  2.57  3.72  1.55  0.64  0.88
 13  0.64  0.91  0.80  1.15  0.90  0.98  1.85  2.63  1.27  1.71  1.15  0.72
 14  0.80  0.20  1.12  1.42  0.65  3.15  0.92  1.07  2.32  0.33  0.18  0.50
 15  0.20  0.57  1.10  2.41  0.87  3.92  2.28  1.43  1.44  1.33  2.52  0.33
 16  0.69  0.47  0.32  3.19  1.16  1.53  0.62  1.35  3.80  0.93  2.05  0.58
 17  0.50  0.67  1.04  2.47  1.61  1.07  2.60  1.44  1.28  1.88  1.29  0.26
 18  0.60  1.23  1.77  0.78  1.35  1.65  1.86  3.60  4.03  0.86  1.81  1.28
 19  0.43  1.41  2.01  0.82  2.67  1.07  2.90  0.77  3.75  1.05  1.25  0.30
 20  0.46  0.55  0.42  1.33  1.52  3.92  2.33  1.61  1.19  1.15  0.72  0.66
 21  0.71  2.33  0.25  1.25  2.91  2.23  1.42  1.01  1.74  0.45  0.90  0.37
 22  0.84  1.10  0.66  1.10  4.01  3.87  1.88  1.64  2.00  2.38  0.67  0.57
 23  0.33  0.45  0.39  3.19  2.05  1.87  0.54  1.84  1.37  2.28  1.07  0.90
 24  0.54  0.60  1.45  1.50  0.63  2.37  2.48  1.40  1.72  0.15  0.38  0.71
 25  0.28  0.75  1.55  0.93  1.50  1.53  1.00  7.60  2.10  0.33  1.13  0.42
 26  0.77  0.23  1.84  2.63  6.50  2.60  4.75  1.47  2.90  1.30  0.32  0.20
 27  0.53  0.50  1.67  1.11  1.62  2.22  1.12  1.46  0.98  1.04  0.80  1.26
 28  0.06  0.90  1.07  1.82  3.73  1.73  1.77  6.90  1.50  0.90  1.00  1.15
 29  0.85******  1.23  2.10  1.42  2.26  1.43  1.69  1.17  1.26  0.92  0.74
