 
 THIS IS FOR STATION NUMBER 6327 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  4  1.10  0.57  1.26  1.25  1.47  1.10  2.23  1.21  1.02  1.36  1.05  1.10
  5  0.54  0.52  1.03  0.75  1.46  1.21  2.55  5.36  1.96  2.53  0.36  0.49
  6  0.49  0.80  1.15  1.67  1.60  1.55  1.88  3.07  1.82  0.48  0.40  0.28
  7  0.16  0.36  1.50  0.90  2.53  2.34  2.25  1.58  1.05  1.23  0.58  1.14
  8  0.18  0.15  0.93  0.70  3.41  2.26  4.35  1.45  1.47  1.00  0.33  1.92
  9  0.08  0.23  0.50  1.00  0.73  1.75  1.85  0.90  2.04  3.21  0.95  0.30
 10  0.50  0.96  0.62  0.97  2.75  1.16  0.78  2.02  1.27  2.05  1.59  0.83
 11  0.19  0.81  1.97  1.14  1.21  2.05  1.55  1.60  1.74  0.98  1.12  1.20
 12  1.05  0.44  1.80  1.08  1.22  1.51  2.50  2.38  0.64  1.60  1.92  0.51
 13  0.74  0.46  1.09  1.34  1.70  0.91  0.99  2.00  5.55  2.05  0.92  0.42
 14  0.17  0.29  0.54  1.11  0.82  2.52  0.63  4.65  2.93  1.02  0.94  0.77
 15  0.84  0.78  1.00  1.38  0.58  2.38  2.98  1.41  2.13  1.18  0.90  1.32
 16  1.21  0.89  0.26  1.92  1.47  1.67  2.00  1.77  0.69  1.43  2.02  0.42
 17  0.38  0.50  0.50  1.05  2.35  2.25  1.35  2.28  3.34  0.95  4.65  0.38
 18  1.05  0.82  0.74  1.87  0.82  1.14  3.22  1.54  1.82  3.20  0.85  0.42
 19  0.50  0.65  1.71  1.78  1.81  1.35  1.43  1.60  1.42  1.62  0.50  0.66
 20  0.65  0.65  0.76  2.24  1.26  2.04  2.56  1.92  2.64  1.48  1.04  1.35
 21  0.40  1.60  0.50  1.40  1.35  2.65  1.58  1.60  1.79  0.62  1.20  0.70
 22  0.45  0.80  0.86  0.93  1.51  1.01  1.26  0.94  0.55  1.42  0.70  0.22
