 
 THIS IS FOR STATION NUMBER 5769 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
  1 3/1-->3/7        1.85   0.42  39(54) 22(30)  9(12)  2( 2)  0( 0)   15       72
 25  53 -10  65 -10  77   2  87  26  93  43 104  47  97  53  97  43  89  34  78  21  67  -4  60 -13
 26  50  -8  74 -19  78   2  90  32  89  37  96  45  98  47  98  47  91  30  83  22  63  -4  55 -12
 27  54 -18  67  -6  83   7  90  29  88  35 101  45 100  51  99  45  98  33  78  17  73   4  58  -9
 28  54 -16  61 -15  83   9  89  27  87  35  98  52 102  52 100  39  99  28  82  15  67  -3  68 -10
 29  59 -21 *** ***  83   6  87  22  88  37  96  50 101  51  99  44  90  26  75  16  67   0  66  -9
 30  59 -23 *** ***  87   7  86  31  88  41  98  52 104  43  96  45  91  31  77  21  69 -15  62 -14
 31  67 -24 *** ***  84  16 *** ***  90  40 *** *** 101  48  96  41 *** ***  82  17 *** ***  61 -16
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-1999 FOR STATION NUMBER 5769
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.35  1.30  0.70  0.78  2.16  2.28  2.33  2.00  1.68  0.68  2.05  0.52
  2  0.25  0.50  1.85  0.76  1.24  3.16  2.88  1.16  3.15  0.85  1.75  0.90
  3  0.74  0.66  0.70  1.76  0.77  1.18  1.29  1.60  1.50  1.22  0.85  0.46
  4  0.85  0.72  0.80  1.08  1.41  1.38  1.88  0.66  1.30  1.00  1.30  0.43
  5  0.42  0.70  0.87  0.95  1.50  2.78  3.42  0.96  3.39  3.03  0.81  0.75
  6  0.49  0.31  0.52  1.35  1.38  1.29  2.11  4.50  3.18  0.87  0.25  0.35
  7  0.10  0.43  0.38  0.69  2.61  1.27  3.00  1.63  1.57  1.50  1.06  1.29
  8  0.10  0.17  1.10  1.10  1.51  1.72  1.00  2.75  1.30  1.30  0.40  1.90
  9  0.30  0.39  0.65  0.76  1.92  4.08  2.58  4.52  3.64  2.82  2.30  0.35
 10  0.30  0.35  0.43  1.65  1.70  3.05  0.92  1.60  3.40  1.55  1.40  0.25
 11  0.67  0.38  1.00  0.75  0.82  1.61  1.38  1.82  1.85  3.80  0.64  0.98
 12  1.28  0.18  1.53  0.93  2.27  2.55  2.31  1.48  4.20  1.17  2.40  0.55
 13  0.55  0.65  0.97  0.50  1.40  0.72  1.80  2.03  2.30  1.60  1.38  0.31
 14  0.21  0.39  1.25  2.00  1.38  2.35  2.05  1.66  1.10  1.32  0.75  0.99
 15  0.49  1.15  1.10  1.52  1.44  1.76  2.34  1.89  2.02  1.20  0.60  0.42
 16  0.77  0.55  0.81  2.42  1.32  1.00  2.50  1.72  1.08  1.30  1.05  0.40
 17  0.17  0.68  0.93  1.40  1.73  1.41  1.34  1.60  1.50  0.60  6.22  0.70
 18  0.71  1.81  0.60  2.39  0.84  0.61  1.26  1.50  2.88  1.55  0.88  0.26
 19  0.25  1.26  3.48  0.78  2.10  2.16  1.40  1.55  3.80  0.95  0.92  0.40
 20  0.50  0.33  1.02  1.38  1.80  2.10  5.50  2.50  2.99  1.35  1.54  0.80
 21  0.78  1.32  0.34  1.85  1.70  1.69  1.67  1.15  2.40  1.28  0.90  0.25
 22  0.45  0.60  0.40  0.83  1.21  1.85  1.14  1.30  1.90  2.05  0.73  0.30
 23  0.25  0.58  1.10  2.45  2.07  1.02  0.88  1.41  1.28  1.62  1.30  0.86
 24  0.56  0.39  1.35  1.37  1.35  1.19  1.90  1.20  1.55  1.94  0.43  0.40
 25  0.26  0.17  1.50  1.02  1.95  1.17  1.70  1.45  1.67  0.40  0.27  0.50
 26  0.65  1.04  2.00  1.65  0.89  2.40  2.14  2.85  2.92  0.89  1.16  0.20
 27  1.02  0.53  1.12  1.64  2.00  2.17  0.77  1.66  1.10  0.58  0.75  0.18
 28  0.15  0.20  0.95  0.90  2.00  1.77  0.88  1.20  0.74  0.58  0.52  1.49
 29  0.74******  1.22  1.65  3.93  2.20  2.00  1.70  1.37  1.18  0.73  0.35
 30  0.22******  1.43  1.20  1.12  2.65  0.81  3.08  2.10  1.42  1.05  1.56
 31  0.20******  1.20******  3.09******  1.00  4.90******  4.00******  0.20
 
