 
 THIS IS FOR STATION NUMBER 9067 1951-> 1999
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 20  51 -23  63 -14  72   5  89  21  91  31 100  48  99  51 100  44  89  28  84  20  65  12  57 -15
 21  58 -24  58 -10  75   1  89  23  90  36 101  44 100  50  96  45  86  28  83  16  64  -1  55 -21
 22  57 -14  65  -9  78  12  92  22  91  31  98  46  99  52  97  47  87  27  82  17  69   4  58 -21
 23  56 -26  59  -7  78   3  87  22  90  30  95  48  96  52  98  46  82  28  84  20  67   6  59 -22
 24  60 -12  62 -15  82  -1  85  15  87  39  98  47  96  52  95  46  90  30  81  20  61   5  57 -23
 25  61 -13  64 -13  74  -1  88  29  93  36  99  45  96  54  95  40  88  33  81  20  64  -2  54 -15
 26  52 -14  62 -19  79   2  86  32  93  35  92  47  99  49  96  44  89  30  81  19  64  -8  53 -24
 27  55 -20  66  -9  83   4  87  28  91  32  96  44  99  49  97  46  89  33  78  15  70   0  55 -16
 28  48 -21  61 -12  82   6  90  30  89  33  96  47 101  51  97  40  97  27  75  16  69  -7  68 -13
 29  51 -24 *** ***  88   8  90  24  91  35  98  52  98  47  97  42  93  28  75  10  60  -7  66  -8
 30  55 -22 *** ***  82   7  89  27  92  39  98  52 100  47  98  46  91  30  78  19  69  -8  59 -12
 31  67 -56 *** ***  81  10 *** ***  91  38 *** *** 104  45  99  43 *** ***  84  17 *** ***  62 -15
 
 DAILY MAXIMUM PRECIPITATION OCCURRING DURING 1951-1999 FOR STATION NUMBER 9067
     JAN   FEB   MARCH APRIL MAY   JUNE  JULY  AUG   SEPT  OCT   NOV   DEC
 
  1  0.60  0.18  0.23  1.37  1.54  1.78  1.35  2.45  0.93  1.02  2.07  1.14
