 
 THIS IS FOR STATION NUMBER  576 1951-> 2000
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN  0.01-  0.26-  0.51-  1.01-          # OF DAYS
 WK    TIME PERIOD    VAL   RAIN    0.25   0.51   1.00   2.00  >2.01 MISSING TOTAL
 14 37   7  42   5  45   3  40   4  38   9  30   9  34   7  42  13  39   8  45  10  43   6  43   2
 15 37   5  62   4  45   7  47   5  39  12  35  12  36   8  40   7  40  11  42   8  47   5  39   6
 16 38   4  43   4  43   8  42   8  49   4  39  10  35  11  36  11  43  11  39   5  38   5  45   5
 17 37   3  43   4  41   4  47   3  39  10  36  10  35  11  36   6  39   7  42   4  40   4  36   2
 18 60   2  50   4  50   1  44   5  42  10  34  10  34  11  36  10  43   9  47   4  40   2  46   3
 19 43   6  38   3  43   3  42   8  38  12  34  13  34   7  36  13  43  11  42   6  38   3  31   6
 20 41   4  38   4  39   3  43   7  38  12  37  14  36  10  37   5  46  10  50   7  36   5  34   3
 21 40   4  44   6  44   6  41   6  43  10  35  13  35   8  38  12  39   6  42   4  36   5  38   3
 22 35   3  40   4  44   5  40   7  36   6  35   5  36   8  41  12  45   9  40   6  44   4  40   5
 23 43   4  42   4  40   8  39   8  40  10  39   8  34  10  37  13  43   5  45   6  36   0  40   2
 24 44   5  49   5  47   6  40   8  43   5  36  11  43  10  36   9  45   4  44   3  38   4  40   1
 25 34   6  41   2  46   3  43   8  39   6  36   9  34  11  39   9  44   4  43   5  36   3  38   4
 26 39   4  42   5  48   3  47  10  36   8  33   5  35   9  35  10  45   9  47   8  38   4  36   3
 27 44   5  38   0  50   4  35   8  38   3  35  13  37  11  34   9  43   6  47   4  40   3  34   5
 28 48   4  40   3  43   4  41   9  40   6  34  14  36  13  40  12  41   8  41   2  43   3  35   2
 29 45   6  **  **  38   6  48   4  37  10  34  13  40  12  38   8  51   7  40   6  42   3  46   5
 30 44   6  **  **  45   5  43   5  36  11  40  13  39  12  37  10  46  10  43   4  35   3  39   1
 31 56   5  **  **  42   6  **  **  36  11  **  **  40  13  34  14  **  **  44   3  **  **  34   3
 
 DAILY  MEAN  HIGHS AND LOWS OCCURRING DURING 1951-2000 FOR STATION NUMBER  576
